日本語,英語
ワイン,wine
矢,arrow
枝,branch
タクシー,taxi
ブドウ,grape
蛇,snake
像,statue
筆,brush
宮殿,palace
ロンドン,London
動物園,zoo
入り口、入学,entrance
体育館,gym
塔,tower
ヨーロッパ,Europe
主人,host
お父ちゃん,dad
象,elephant
スープ,soup
ネクタイ,tie
キツネ,fox
ジーンズ,jeans
ジャム、混雑,"jam (food, traffic)"
スーツ,suit
切符,ticket
カナダ,Canada
塀,fence
イングランド,England
アジア,Asia
玄関の広間、ろうか,hall
森林,forest
おかあちゃん,mom
エンジニア,engineer
警官,policeman
おもちゃ,toy
かさ,umbrella
カエル,frog
びん,bottle
インク,ink
ソファー,sofa
爆弾,bomb
中国,China
砂漠,desert
オーストラリア,Australia
砂浜,beach
劇場,theater
テント,tent
レストラン,restaurant
見知らぬ人,stranger
運転手,driver
敵,enemy
夫,husband
科学者,scientist
浴室,bathroom
ランナー,runner
芸術家,artist
訪問者,visitor
いとこ,cousin
日没,sunset
貿易,trade
試合 (sports),match
死,death
習慣,habit
喜び,joy
血,blood
運,luck
魚釣り,fishing
大統領,president
商人,merchant
床屋,barber
陸軍,army
画家,painter
レポーター,reporter
神,God
世紀,century
得点、ゴール,goal
トレイニング,training
病気,disease
小旅行,tour
試験,exam
飛行,flight
映画,film
精神,mind
痛み,pain
群衆,crowd
案内人,guide
女王,queen
友だち,pal
船長,captain
隣人,neighbor
王子,prince
真夜中,midnight
劇 (drama),play
涙,tear
コンサート,concert
行動,action
祭り,festival
ポピュラー音楽,pop
考え,thought
約束,promise
事故,accident
習慣,custom
浪費,waste
使用,use
返事,reply
競走、人種,race
滞在,stay
谷,valley
銀,silver
天,heaven
大洋,ocean
土,soil
１０億,billion
一対,couple
地域,area
カレンダー,calendar
信号,signal
討論,discussion
合図、標識,sign
バレーボール,volleyball
答え,answer
停留所,stop
勇気,courage
鉄,iron
宇宙,universe
絹,silk
波,wave
根,root
煙,smoke
進路,course
陰,shade
賞,prize
リスト,list
ページ,page
報告,report
足元、階段,step
秘密,secret
クイズ,quiz
世話、,care
管理,
殺到,rush
植物,plant
ガス,gas
気候,climate
宝石,jewel
虹,rainbow
天気,weather
模型,model
点,point
鉄道,railway
印,mark
鉢,bowl
くちびる,lip
網,net
メロン,melon
詩,poem
メニュー,menu
グラム,gram
セント,cent
住所,address
被害,damage
種類,sort (of)
理由，原因,reason
キロメートル,kilometer
中央,middle
ショック,shock
センチメートル,centimeter
地帯,zone
トースト,toast
カーテン,curtain
ジュース,juice
蜂蜜,honey
商品,goods
感じ,sense
型,type
象徴,symbol
エネルギー,energy
位置、地位,position
灰色,gray
少し,bit
問題,matter
困ったこと,
力,power
文,sentence
円,yen
評点,grade
等級,
皿,plate
チーズ,cheese
カン,can
宝物,treasure
穴,hole
価格,price
問題,problem
事実,fact
美,beauty
一組,pair
パーセント,percent
場合、容器,case
綴り,spelling
意味,meaning
正方形,square
若さ,youth
注文する,order
不思議に思う,wonder
においがする,smell
キスをする,kiss
横切る,cross
選ぶ,select
目が覚める,awake
いっぱいにする,fill
印刷する,print
成功する,succeed
受け取る,receive
デートする,date
(手などを)あげる、持ち上げる、育てる,raise
練習する,exercise
帰る,return
破壊する,destroy
ものである,belong
理解する，実現する,realize
(～のように)聞こえる,sound
発明する,invent
解決する,solve
傷つける,hurt
ノックする,knock
触れる、感動する,touch
間違う,miss
いなくてさみしく思う,
着く、届く,reach
手渡す,hand
選ぶ,choose
分け合う,share
模写する,copy
ゆでる、煮る,boil
訓練する,train
おおう,cover
壊れる、破る,break
気に入る、喜ばせる,please
説明する,explain
オーブンで焼く,bake
話し合う,discuss
横たわる、～にある,lie
震える,shake
救う、とっておく、節約する,save
打つ,hit
混ぜる,mix
吹く,blow
撃つ,shoot
戦う,fight
紹介する、初めて伝える,introduce
こぐ,row
落とす,drop
結婚する,marry
興味のある,interested
恥じて,ashamed
目の見えない,blind
やさしい,gentle
喜んで,pleased
月刊,monthly
開いている,open
平らな,flat
音楽の～,musical
騒がしい,noisy
神聖な,holy
淋しい、ひとりの,lonely
陽気な,merry
生きている,living
個人の,personal
必要な,necessary
荒々しい、野生の～,wild
外側の～,outside
新鮮な,fresh
健康な,healthy
美しい,lovely
口のきけない,dumb
現代的な,modern
平和な,peaceful
生の～,raw
国際的な,international
裏の～、後ろの～,back
自然の～,natural
道に迷った,lost
速い,quick
1番目の,first
2番目の,second
3番目の,third
4番目の,forth
5番目の,fifth
6番目の,sixth
7番目の,seventh
8番目の,eighth
9番目の,ninth
10番目の,tenth
11番目の,eleventh
12番目の,twelfth
13番目の,thirteenth
14番目の,fourteenth
15番目の,fifteenth
16番目の,sixteenth
17番目の,seventeenth
18番目の,eighteenth
19番目の,nineteenth
20番目の,twentieth
30番目の,thirtieth
不幸な,unhappy
怠け者の,lazy
勇敢な,brave
青ざめた,pale
簡単な,simple
質素な,
毎日の,daily
興奮させる,exciting
年上の、上級の,senior
安全な,safe
国家の、国民の,national
中国の、中国人の ,Chinese
ほかの、もうひとつの,another
よりも,than
～する間,while
しかし,but
～するとき,when
～の間、～を通じて,during
興奮した,excited
太った,fat
おかしな,funny
可愛い,cute
眠い,sleepy
おいしい,delicious
落ちついた,calm
小さな,tiny
最後の,final
中心の,central
濡れている,wet
共通の,common
なぜなら,because
～と,and
しかし,however
こんにちは,hello
～の後で,after
気の狂った,crazy
好きで,fond
好意的な,friendly
静かな,silent
接近した,close
ほんとうの,real
ある,certain
間違った、ぐあいが悪い,wrong
週刊,weekly
雪の降る,snowy
すべての,whole
もし,if
であるけれど,although
だけれども,though
それとも,or
～と～の間,between
今夜(は),tonight
今まで,ever
かつて、１度,once
ついに,finally
まっすぐに,straight
どこでも,everywhere
下に,down
かなり,pretty
その上,besides
おそらく,maybe
確かに,surely
確かに,certainly
かんたんに,easily
～も～も(ない),neither
ひとりきりで,alone
いっしょうけんめい,hard
永久に,forever
突然,suddenly
特に,especially
すばやく,quickly
長く,long
離れて,away
外国へ,abroad
前方に,ahead
まったく,all
ほとんど,almost
実に,indeed
そのほかに,else
ともかく,anyway
(もまた)～でない,either
やさしく,gently
多分,probably
幸せに、楽しく,happily
それから、そのとき、それでは,then
２回,twice
まだ,still
最近,recently
離れて,off
横切って,across
まわりに、まわりを ,round
ちょうど、ただ単に,just
まったく,quite
多分,perhaps
～さえ,even
静かに,quietly
うまく,fine
注意深く,carefully
１度も～ない,never
本当に,really
